,timestamp,pressure,flow
103,2025-01-14T13:35:13.000Z,0.244,0.263
104,2025-01-14T13:35:14.000Z,0.243,0.263
105,2025-01-14T13:35:15.000Z,0.244,0.263
106,2025-01-14T13:35:16.000Z,0.247,0.258
107,2025-01-14T13:35:17.000Z,0.248,0.263
108,2025-01-14T13:35:18.000Z,0.249,0.258
109,2025-01-14T13:35:19.000Z,0.244,0.258
110,2025-01-14T13:35:20.000Z,0.241,0.288
111,2025-01-14T13:35:21.000Z,0.227,0.288
112,2025-01-14T13:35:22.000Z,0.235,0.298
113,2025-01-14T13:35:23.000Z,0.24,0.273
114,2025-01-14T13:35:24.000Z,0.244,0.268
115,2025-01-14T13:35:25.000Z,0.24,0.258
116,2025-01-14T13:35:26.000Z,0.245,0.258
117,2025-01-14T13:35:27.000Z,0.243,0.258
118,2025-01-14T13:35:28.000Z,0.244,0.258
119,2025-01-14T13:35:29.000Z,0.242,0.253
120,2025-01-14T13:35:31.000Z,0.244,0.268
121,2025-01-14T13:35:32.000Z,0.241,0.253
122,2025-01-14T13:35:33.000Z,0.245,0.253
123,2025-01-14T13:35:34.000Z,0.242,0.247
124,2025-01-14T13:35:35.000Z,0.093,0.157
125,2025-01-14T13:35:36.000Z,0.017,0.0
126,2025-01-14T13:35:37.000Z,0.017,0.0
127,2025-01-14T13:35:38.000Z,0.017,0.0
128,2025-01-14T13:35:39.000Z,0.017,0.0
129,2025-01-14T13:35:40.000Z,0.017,0.0
130,2025-01-14T13:35:41.000Z,0.017,0.0
131,2025-01-14T13:35:42.000Z,0.017,0.0
132,2025-01-14T13:35:43.000Z,0.017,0.0
133,2025-01-14T13:35:44.000Z,0.017,0.0
134,2025-01-14T13:35:45.000Z,0.017,0.0
135,2025-01-14T13:35:46.000Z,0.017,0.0
136,2025-01-14T13:35:47.000Z,0.017,0.0
137,2025-01-14T13:35:48.000Z,0.017,0.0
138,2025-01-14T13:35:49.000Z,0.017,0.0
139,2025-01-14T13:35:50.000Z,0.017,0.0
140,2025-01-14T13:35:51.000Z,0.017,0.0
141,2025-01-14T13:35:52.000Z,0.017,0.0
142,2025-01-14T13:35:53.000Z,0.017,0.0
143,2025-01-14T13:35:54.000Z,0.017,0.0
144,2025-01-14T13:35:55.000Z,0.017,0.0
145,2025-01-14T13:35:56.000Z,0.017,0.0
146,2025-01-14T13:35:57.000Z,0.017,0.0
147,2025-01-14T13:35:58.000Z,0.017,0.0
148,2025-01-14T13:35:59.000Z,0.017,0.0
149,2025-01-14T13:36:00.000Z,0.017,0.0
150,2025-01-14T13:36:01.000Z,0.017,0.0
151,2025-01-14T13:36:02.000Z,0.017,0.0
152,2025-01-14T13:36:03.000Z,0.017,0.0
153,2025-01-14T13:36:04.000Z,0.017,0.0
154,2025-01-14T13:36:05.000Z,0.017,0.0
155,2025-01-14T13:36:06.000Z,0.017,0.0
156,2025-01-14T13:36:07.000Z,0.017,0.0
157,2025-01-14T13:36:08.000Z,0.017,0.0
158,2025-01-14T13:36:09.000Z,0.017,0.0
159,2025-01-14T13:36:10.000Z,0.017,0.0
160,2025-01-14T13:36:11.000Z,0.017,0.0
161,2025-01-14T13:36:12.000Z,0.017,0.0
162,2025-01-14T13:36:13.000Z,0.017,0.0
163,2025-01-14T13:36:14.000Z,0.017,0.0
164,2025-01-14T13:36:15.000Z,0.017,0.0
165,2025-01-14T13:36:16.000Z,0.017,0.0
166,2025-01-14T13:36:17.000Z,0.017,0.0
167,2025-01-14T13:36:18.000Z,0.017,0.0
168,2025-01-14T13:36:19.000Z,0.017,0.0
169,2025-01-14T13:36:20.000Z,0.017,0.0
